name,class,primary_fuel_type,generation_MW,generator_number,suburb,state,longitude,latitude,generation_type
Repulse,Renewable,Water,28,1,Ouse,Tasmania,146.64696,-42.507695,Hydroelectric (Gravity)
Gordon,Renewable,Water,432,3,Southwest,Tasmania,145.9828322,-42.74051814,Hydroelectric (Gravity)
John Butters,Renewable,Water,144,1,Queenstown,Tasmania,145.5344768,-42.15483458,Hydroelectric (Gravity)
Tribute,Renewable,Water,82.8,1,West Coast,Tasmania,145.6538199,-41.81287029,Hydroelectric (Gravity)
Bastyan,Renewable,Water,79.9,1,Tullah,Tasmania,145.532112,-41.735983,Hydroelectric (Gravity)
Reece,Renewable,Water,238,2,West Coast,Tasmania,145.1359484,-41.72376958,Hydroelectric (Gravity)
Mackintosh,Renewable,Water,79.9,1,Tullah,Tasmania,145.6461186,-41.69974974,Hydroelectric (Gravity)
Cethana,Renewable,Water,85,1,Cethana,Tasmania,146.1342527,-41.48057641,Hydroelectric (Gravity)
Wilmot,Renewable,Water,81.6,1,Cethana,Tasmania,146.125073,-41.483312,Hydroelectric (Gravity)
Devils Gate,Renewable,Water,60,1,Barrington,Tasmania,146.263167,-41.350467,Hydroelectric (Gravity)
Paloona,Renewable,Water,28,1,Barrington,Tasmania,146.2489641,-41.28261605,Hydroelectric (Gravity)
Bell Bay (Bell Bay Three),Non Renewable,Natural Gas,115,3,Bell Bay,Tasmania,146.9029975,-41.14289636,Open Cycle Gas Turbine
Trevallyn,Renewable,Water,80,4,Trevallyn,Tasmania,147.1118721,-41.42263297,Hydroelectric (Gravity)
Poatina,Renewable,Water,100,6,Poatina,Tasmania,146.9190376,-41.81157271,Hydroelectric (Gravity)
Lake Echo,Renewable,Water,32.4,1,Dee,Tasmania,146.6206993,-42.25370224,Hydroelectric (Gravity)
Codrington Wind Farm,Renewable,Wind,18.2,14,Codrington,Victoria,141.9547287,-38.28351623,Wind Turbine
Yambuk Wind Farm,Renewable,Wind,30,20,Yambuk,Victoria,142.0151309,-38.30793848,Wind Turbine
Macarthur Wind Farm,Renewable,Wind,420,140,MacArthur,Victoria,142.1865101,-38.00752684,Wind Turbine
Mortlake,Non Renewable,Natural Gas,566,2,Mortlake,Victoria,142.6674789,-38.06316932,Open Cycle Gas Turbine
Mt Mercer Wind Farm,Renewable,Wind,131,,Mount Mercer,Victoria,143.8757632,-37.84316966,Wind Turbine
Waubra Wind Farm,Renewable,Wind,192,128,Waubra,Victoria,143.6037302,-37.35746218,Wind Turbine
Challicum Hills Wind Farm,Renewable,Wind,52.5,35,Buangor,Victoria,143.1123055,-37.38927506,Wind Turbine
Shepparton Biogas Generation Plant,Renewable,Biogas,1.1,,Shepparton North,Victoria,145.3789833,-36.32177516,Spark Ignition Reciprocating Engine
Dartmouth (Mount Beauty Hydro Scheme),Renewable,Water,150,1,Dartmouth,Victoria,147.5205799,-36.55642936,Hydroelectric (Gravity)
Banimboola,Renewable,Water,12.85,2,Dartmouth,Victoria,147.4593781,-36.53439682,Hydroelectric (Gravity)
Lake William Hovell,Renewable,Water,2,1,Cheshunt South,Victoria,146.392106,-36.91293685,Hydroelectric (Gravity)
Eildon,Renewable,Water,120,4,Eildon,Victoria,145.9214524,-37.22200533,Hydroelectric (Gravity)
Laverton North,Non Renewable,Natural Gas,312,2,Laverton North,Victoria,144.788711,-37.84158,Open Cycle Gas Turbine
Newport,Non Renewable,Natural Gas,500,1,Newport,Victoria,144.894197,-37.841462,Steam Subcritical
Claytons,Renewable,Biogas,11,11,Clayton South,Victoria,145.118722,-37.9502,Spark Ignition Reciprocating Engine
Springvale,Renewable,Biogas,4.2,6,South,Victoria,145.139635,-37.973297,Spark Ignition Reciprocating Engine
Hallam Road,Renewable,Biogas,8.984,2,Hampton Park,Victoria,145.2699497,-38.05345276,Spark Ignition Reciprocating Engine
Yallourn,Non Renewable,Coal,1480,4,Yallourn,Victoria,146.342783,-38.177015,Steam Subcritical
Jeeralang B,Non Renewable,Natural Gas,228,3,Hazelwood North,Victoria,146.424923,-38.274626,Open Cycle Gas Turbine
Jeeralang A,Non Renewable,Natural Gas,204,4,Hazelwood North,Victoria,146.426296,-38.275325,Open Cycle Gas Turbine
Loy Yang A,Non Renewable,Coal,2180,4,Loy Yang,Victoria,146.574569,-38.2536,Steam Subcritical
Loy Yang B,Non Renewable,Coal,1000,2,Loy Yang,Victoria,146.58637,-38.256447,Steam Subcritical
Valley (Peaking Facility),Non Renewable,Natural Gas,300,6,Loy Yang,Victoria,146.589166,-38.253622,Open Cycle Gas Turbine
Bairnsdale,Non Renewable,Natural Gas,94,2,Bairnsdale,Victoria,147.5639295,-37.8428595,Open Cycle Gas Turbine
Yarrawonga,Renewable,Water,9,2,Yarrawonga,Victoria,145.9994615,-36.00940982,Hydroelectric (Gravity)
Hume,Renewable,Water,70,2,Lake Hume Village,New South Wales,147.0326223,-36.10661854,Hydroelectric (Gravity)
Canunda Wind Farm,Renewable,Wind,46,23,German Flat,South Australia,140.4033113,-37.76025336,Wind Turbine
Snuggery,Non Renewable,Natural Gas,63,3,Millicent,South Australia,140.4155575,-37.66455062,Open Cycle Gas Turbine
Dry Creek,Non Renewable,Natural Gas,156,3,Port Adelaide,South Australia,138.581758,-34.847463,Open Cycle Gas Turbine
Torrens Island A,Non Renewable,Natural Gas,480,4,Port Adelaide,South Australia,138.521322,-34.806844,Steam Subcritical
Torrens Island B,Non Renewable,Natural Gas,800,4,Port Adelaide,South Australia,138.52262,-34.805171,Steam Subcritical
Osborne,Non Renewable,Natural Gas,180,2,Osborne,South Australia,138.507884,-34.798021,Combined Cycle Gas Turbine
Pelican Point,Non Renewable,Natural Gas,478,3,Port Adelaide,South Australia,138.505325,-34.764972,Combined Cycle Gas Turbine
Quarantine,Non Renewable,Natural Gas,224,5,Port Adelaide,South Australia,138.522352,-34.779284,Open Cycle Gas Turbine
Angaston,Non Renewable,Distillate,50,30,Angaston,South Australia,139.0245702,-34.50344259,Compression Reciprocating Engine
Waterloo Wind Farm,Renewable,Wind,111,37,Tothill Belt,South Australia,138.9109315,-34.00102479,Wind Turbine
Wattle Point Wind Farm,Renewable,Wind,90.75,55,Edithburgh,South Australia,137.7166175,-35.1213549,Wind Turbine
Mintaro,Non Renewable,Natural Gas,90,1,Stanley,South Australia,138.7383,-33.9031,Open Cycle Gas Turbine
Hallett 1 Brown Hill  Wind Farm,Renewable,Wind,94.5,45,Belalie East,South Australia,138.7323317,-33.33973358,Wind Turbine
Hallett,Non Renewable,Natural Gas,228.3,12,Hallett,South Australia,138.751659,-33.348652,Open Cycle Gas Turbine
Hallett 2 Hallet Hill  Wind Farm,Renewable,Wind,71.4,34,Booborowie,South Australia,138.8551598,-33.52260244,Wind Turbine
Port Lincoln,Non Renewable,Distillate,73.5,3,Boston,South Australia,135.8044238,-34.70033444,Open Cycle Gas Turbine
Cathedral Rocks Wind Farm,Renewable,Wind,66,33,Sleaford,South Australia,135.585172,-34.850861,Wind Turbine
Channel Island,Non Renewable,Natural Gas,310,9,Channel Island,Northern Territory,130.866587,-12.554993,Gas Turbine
Weddell,Non Renewable,Natural Gas,86,2,Wickham,Northern Territory,130.9502236,-12.57713222,Open Cycle Gas Turbine
Ord River,Renewable,Water,30,4,Lake Argyle,Western Australia,128.738325,-16.120132,Hydroelectric (Gravity)
Muja D,Non Renewable,Coal,454,2,Muja,Western Australia,116.3074283,-33.4463574,Steam Subcritical
Kemerton,Non Renewable,Natural Gas,260.9,2,Wellesley,Western Australia,115.78054,-33.16325,Open Cycle Gas Turbine
Pinjar,Non Renewable,Natural Gas,576,9,Pinjar,Western Australia,115.820403,-31.556798,Gas Turbine
Emu Downs Wind Farm,Renewable,Wind,79.2,48,Nambung,Western Australia,115.376754,-30.488191,Wind Turbine
Collie A,Non Renewable,Coal,340,1,Palmer,Western Australia,116.261165,-33.342181,Steam Subcritical
Collie (Bluewaters),Non Renewable,Coal,416,2,Palmer,Western Australia,116.229,-33.331,Steam Subcritical
Wagerup,Non Renewable,Natural Gas,380,4,Wagerup,Western Australia,115.918647,-32.916017,Gas Turbine
Kwinana Cogeneration,Non Renewable,Natural Gas,123,2,Kwinana Beach,Western Australia,115.766121,-32.222532,Cogeneration
Kwinana High Efficiency Gas Turbine Plant,Non Renewable,Natural Gas,200,2,Naval Base,Western Australia,115.7753769,-32.19729543,Gas Turbine
Kwinana A,Non Renewable,Coal,240,2,Naval Base,Western Australia,115.7751521,-32.1979529,Steam Subcritical
Kwinana C,Non Renewable,Coal,184,2,Naval Base,Western Australia,115.7747022,-32.19922939,Steam Subcritical
Cockburn,Non Renewable,Natural Gas,240,2,Naval Base,Western Australia,115.773679,-32.200119,Combined Cycle Gas Turbine
Kalgoorlie (Parkeston),Non Renewable,Natural Gas,110,3,Parkeston,Western Australia,121.506543,-30.73781,Open Cycle
Collgar Wind Farm,Renewable,Wind,206,111,Norpa,Western Australia,118.4565685,-31.54317741,Wind Turbine
Merredin,Non Renewable,Gas,82,2,Merredin,Western Australia,118.2269979,-31.54231385,Open Cycle Gas Turbine
Mungarra,Non Renewable,Natural Gas,112,3,West Casuarinas,Western Australia,115.1176989,-28.88931129,Gas Turbine
Geraldton,Non Renewable,Natural Gas,21,1,Woorree,Western Australia,114.648482,-28.770107,
Paraburdoo,Non Renewable,Natural Gas,155,4,Innawanga,Western Australia,117.613267,-23.2232601,
Dampier,Non Renewable,Natural Gas,120,3,Dampier,Western Australia,116.721904,-20.647985,Steam Turbine
Yurralyi Maya (Karratha Seven Mile),Non Renewable,Natural Gas,180,4,Maitland,Western Australia,116.742,-20.762,
Wonthaggi Wind Farm,Renewable,Wind,12,6,Wonthaggi,Victoria,145.546167,-38.603736,Wind Turbine
Walkaway Wind Farm,Renewable,Wind,90,54,Walkaway,Western Australia,114.9281583,-28.92285117,Wind Turbine
Cullerin Range Wind Farm,Renewable,Wind,30,15,Gunning,New South Wales,149.4001296,-34.80498162,Wind Turbine
Snowtown North,Renewable,Wind,148,47,Snowtown,South Australia,138.1470884,-33.72152007,Wind Turbine
Cape Bridgewater Wind Farm,Renewable,Wind,58,29,Cape Bridgewater,Victoria,141.385044,-38.357655,Wind Turbine
Barcaldine (Len Wishaw),Non Renewable,Natural Gas,37,1,Barcaldine,Queensland,145.3141861,-23.55245184,Combined Cycle Gas Turbine
Bluff Point (Woolnorth) Wind Farm,Renewable,Wind,65,37,Woolnorth,Tasmania,144.686919,-40.720674,Wind Turbine
Studland Bay (Woolnorth) Wind Farm,Renewable,Wind,75,25,Woolnorth,Tasmania,144.736204,-40.778754,Wind Turbine
The Drop,Renewable,Water,3,1,Berrigan,New South Wales,145.783725,-35.604347,Hydroelectric (Gravity)
Pindari,Renewable,Water,6.7,2,Ashford (Severn River),New South Wales,151.244202,-29.388626,Hydroelectric (Gravity)
Nieterana,Renewable,Water,2.2,1,Derwent River,Tasmania,146.262883,-42.26858672,Hydroelectric (Gravity)
Oakland Hills Wind Farm,Renewable,Wind,67,32,Glentompson,Victoria,142.5467248,-37.6870595,Wind Turbine
Tatura Biogas Generation Plant,Renewable,Biogas,1.1,,Tatura,Victoria,145.235026,-36.479261,Spark Ignition Reciprocating Engine
Jindabyne Dam Mini Hydro,Renewable,Water,1.1,1,Jindabyne,New South Wales,148.6332501,-36.43514967,Hydroelectric (Gravity)
North Brown Hill  Wind Farm,Renewable,Wind,132.3,63,Hallett North Brown Hill,South Australia,138.7295955,-33.30925994,Wind Turbine
Clements Gap Wind Farm,Renewable,Wind,57,27,"Merriton, Port Broughton",South Australia,138.1191752,-33.50856771,Wind Turbine
Wyangala A,Renewable,Water,20,1,Cowra (Lachlan River),New South Wales,148.947306,-33.980989,Hydroelectric (Gravity)
Blayney Wind Farm,Renewable,Wind,9.9,15,Blayney,New South Wales,149.19821,-33.62189,Wind Turbine
Woodlawn Wind Farm,Renewable,Wind,48,23,Tarago,New South Wales,149.5716058,-35.0860597,Wind Turbine
Woodlawn Bioreactor,Renewable,Biogas,7,7,Tarago,New South Wales,149.576905,-35.05900246,Spark Ignition Reciprocating Engine
West Nowra (Shoalhaven),Renewable,Biogas,1,1,Nowra,New South Wales,150.551485,-34.881978,Compression Reciprocating Engine
Tumut 3,Renewable,Water,1500,6,Talbingo Dam (Tumut River),New South Wales,148.2916846,-35.61121773,Hydroelectric (Gravity)
Summerhill,Renewable,Biogas,2.2,2,Wallsend,New South Wales,151.642954,-32.888533,Spark Ignition Reciprocating Engine
Mugga Lane,Renewable,Biogas,3.5,3,Hume,Australian Capital Territory,149.14582,-35.395304,Spark Ignition Reciprocating Engine
Lucas Heights II,Renewable,Biogas,16,11,Lucas Heights,New South Wales,150.973882,-34.048146,Spark Ignition Reciprocating Engine
Lucas Heights I,Renewable,Biogas,5.39,5,Lucas Heights,New South Wales,151.002072,-34.029302,Spark Ignition Reciprocating Engine
Jounama,Renewable,Water,14,1,Talbingo,New South Wales,148.3055166,-35.5619651,Hydroelectric (Gravity)
Jacks Gully,Renewable,Biogas,2.3,2,Narellan,New South Wales,150.742689,-34.07344,Spark Ignition Reciprocating Engine
Gunning,Renewable,Wind,47,31,Gunning,New South Wales,149.3861257,-34.69773447,Wind Turbine
Grange Avenue,Renewable,Biogas,2,1,Marsden Park,New South Wales,150.831233,-33.702938,Spark Ignition Reciprocating Engine
Esperance Wind Farm Nine Mile Beach,Renewable,Wind,3.6,6,Esperance,Western Australia,121.77778,-33.89271,Wind Turbine
Eastern Creek 2,Renewable,Biogas,8.984,7,Eastern Creek,New South Wales,150.861683,-33.812515,Spark Ignition Reciprocating Engine
Eastern Creek,Renewable,Biogas,5.4,4,Eastern Creek,New South Wales,150.8537017,-33.81415696,Spark Ignition Reciprocating Engine
Crookwell Wind Farm,Renewable,Wind,4.8,8,Crookwell,New South Wales,149.54248,-34.5165,Wind Turbine
Capital Hill Wind Farm,Renewable,Wind,140,67,Bungendore,New South Wales,149.5185686,-35.16603062,Wind Turbine
Burrinjuck Power Station,Renewable,Water,27,3,Yass (Murrumbidgee River),New South Wales,148.583393,-35.00252,Hydroelectric (Gravity)
Awaba,Renewable,Biogas,1.1,1,Awaba,New South Wales,151.549719,-33.02503,Spark Ignition Reciprocating Engine
Windy Hill Wind Farm,Renewable,Wind,12,20,Ravenshoe,Queensland,145.5306,-17.5922,Wind Turbine
Starfish Hill Wind Farm,Renewable,Wind,34.5,23,Cape Jervis,South Australia,138.143238,-35.567765,Wind Turbine
Pioneer Sugar Mill,Renewable,Biomass,67.8,2,Brandon,Queensland,147.330801,-19.557465,Cogeneration - Steam Subcritical
Moranbah North,Non Renewable,Natural Gas,45.7,15,Moranbah,Queensland,147.9506554,-21.89665526,Spark Ignition Reciprocating Engine
Koombooloomba,Renewable,Water,7.3,1,Innisfail,Queensland,145.603362,-17.831284,Hydroelectric (Gravity)
Invicta Sugar Mill,Renewable,Biomass,150,3,Giru,Queensland,147.106526,-19.516697,Cogeneration - Steam Subcritical
Wivenhoe,Renewable,Water,4.7,1,Ipswich (Brisbane River),Queensland,152.609153,-27.395212,Hydroelectric (Pumped Storage)
Terminal Storage,Renewable,Water,2.5,1,Tea Tree Gully Adelaide,South Australia,138.711226,-34.839323,Hydroelectric (Gravity)
Suncoast Gold Macadamia,Renewable,Biomass,1.5,1,Gympie,Queensland,152.698102,-26.226125,Steam Subcritical
Rocky Point Sugar Sugar Mill,Renewable,Biomass,30,1,Woongoolba,Queensland,153.327607,-27.733449,Cogeneration - Steam Subcritical
Mount Millar Wind Farm,Renewable,Wind,70,35,Cowell,South Australia,136.704562,-33.626728,Wind Turbine
Lake Bonney Stage 2 Wind Farm,Renewable,Wind,159,53,Millicent,South Australia,140.4194991,-37.81489402,Wind Turbine
Albany Wind Farm,Renewable,Wind,21.6,12,Albany,Western Australia,117.797695,-35.064147,Wind Turbine
Wyndham,Renewable,Biogas,1,1,Wyndham,Victoria,144.590179,-37.937488,Spark Ignition Reciprocating Engine
Wollert,Renewable,Biogas,6.738,2,Wollert landfill,Victoria,145.048704,-37.582957,Spark Ignition Reciprocating Engine
Whitwood Road,Renewable,Biogas,1,1,Ipswich,Queensland,152.823743,-27.659014,Spark Ignition Reciprocating Engine
Toora Wind Farm,Renewable,Wind,21,12,Toora,Victoria,146.344132,-38.64506,Wind Turbine
Ti Tree Bioenergy,Renewable,Biogas,3.3,,Willowbank,Queensland,152.659295,-27.680164,Compression Reciprocating Engine
Roghan Road,Renewable,Biogas,2,1,Fitzgibbon,Queensland,153.03435,-27.338768,Spark Ignition Reciprocating Engine
Rochedale,Renewable,Biogas,4,4,Rochdale,Queensland,153.123634,-27.559117,Compression Reciprocating Engine
Plane Creek Sugar Mill,Renewable,Biomass,14,2,Sarina,Queensland,149.215912,-21.428223,Steam Subcritical
Browns Plains,Renewable,Biogas,2.2,2,Browns Plains,Queensland,153.066346,-27.672131,Spark Ignition Reciprocating Engine
Brooklyn,Renewable,Biogas,2.83,2,Brooklyn,Victoria,144.831876,-37.817967,Spark Ignition Reciprocating Engine
Berwick,Renewable,Biogas,7.2,2,Berwick,Victoria,145.266461,-38.119702,Cogeneration - Spark Ignition Reciprocat
Broadmeadows,Renewable,Biogas,12.2,7,Campbellfield,Victoria,144.966319,-37.687786,Spark Ignition Reciprocating Engine
Energy Brix,Non Renewable,Coal,195,5,Morwell,Victoria,146.413722,-38.25456,Steam Subcritical
Lake Glenmaggie,Renewable,Water,4,2,Glenmaggie,Victoria,146.801085,-37.904745,Hydroelectric (Gravity)
Hazelwood,Non Renewable,Coal,1600,8,Hazelwood,Victoria,146.392263,-38.273103,Steam Subcritical
Longford,Non Renewable,Natural Gas,31,6,Longford,Victoria,147.1657126,-38.2235817,Open Cycle Gas Turbine
Mornington,Renewable,Biogas,1,1,Fingal,Victoria,144.855322,-38.391631,Spark Ignition Reciprocating Engine
Rubicon,Renewable,Water,13.55,1,Rubicon,Victoria,145.86052,-37.32722,Hydroelectric (Gravity)
Somerton,Non Renewable,Natural Gas,160,4,Somerton,Victoria,144.953077,-37.631822,Open Cycle Gas Turbine
Symex Port Melbourne,Non Renewable,Natural Gas,5.9,,Port Melbourne,Victoria,144.944365,-37.829794,Open Cycle Gas Turbine
Bogong (Mount Beauty Hydro Scheme),Renewable,Water,300,8,Bogong,Victoria,147.228034,-36.80546098,Hydroelectric (Gravity)
Clover,Renewable,Water,30,2,Bogong,Victoria,147.220466,-36.785281,Hydroelectric (Gravity)
McKay Creek (Mount Beauty Hydro Scheme),Renewable,Water,150,6,Falls Creek,Victoria,147.234542,-36.858394,Hydroelectric (Gravity)
West Kiewa (Mount Beauty Hydro Scheme),Renewable,Water,62,2,Mount Beauty,Victoria,147.186048,-36.760066,Hydroelectric (Gravity)
Murray 2,Renewable,Water,552,4,Khancoban,New South Wales,148.136247,-36.242344,Hydroelectric (Gravity)
Murray 1,Renewable,Water,950,10,Khancoban,New South Wales,148.190095,-36.246713,Hydroelectric (Gravity)
Cape Sir William Grant Wind Farm,Renewable,Wind,54,27,Portland,Victoria,141.6208504,-38.39759342,Wind Turbine
Cape Nelson South Wind Farm,Renewable,Wind,44,22,Portland West,Victoria,141.543,-38.41199995,Wind Turbine
Cape Nelson North Wind Farm,Renewable,Wind,22,11,Portland West,Victoria,141.542959,-38.367637,Wind Turbine
